artist,bio,source,url,bio_clean
Sam Smith,"Samuel Frederick Smith is an English singer and songwriter. In 2012, they rose to prominence when they featured on Disclosure's breakthrough single ""Latch"", which peaked at number eleven on the UK Singles Chart. The following year, they featured on Naughty Boy's single ""La La La"", which became a number one single in the UK.",wikipedia,https://en.wikipedia.org/wiki/Sam_Smith,samuel frederick smith is an english singer and songwriter in they rose to prominence when they featured on disclosure s breakthrough single latch which peaked at number eleven on the uk singles chart the following year they featured on naughty boy s single la la la which became a number one single in the uk
Bizarrap,"Gonzalo Julián Conde, known professionally as Bizarrap or BZRP, is an Argentine record producer, songwriter and DJ. He specializes in EDM, Latin trap and Latin hip-hop. He is known for his BZRP Music Sessions, a series of independent tracks which he records with a wide variety of artists. He was nominated for a Latin Grammy Award for Producer of the Year in 2021 and 2023.",wikipedia,https://en.wikipedia.org/wiki/Bizarrap,gonzalo juli n conde known professionally as bizarrap or bzrp is an argentine record producer songwriter and dj he specializes in edm latin trap and latin hip hop he is known for his bzrp music sessions a series of independent tracks which he records with a wide variety of artists he was nominated for a latin grammy award for producer of the year in and
Manuel Turizo,"Manuel Turizo Zapata is a Colombian singer. Born and raised in Montería, he started making music at 13. He first became popular with his song ""Una Lady Como Tú"" (2016). He made his debut album ADN on August 23, 2019. Turizo's music contains influences from pop music, trap, and vallenato, and his vocal range has been classified as baritone. His most well-known song is his 2022 single ""La Bachata"".",wikipedia,https://en.wikipedia.org/wiki/Manuel_Turizo,manuel turizo zapata is a colombian singer born and raised in monter a he started making music at he first became popular with his song una lady como t he made his debut album adn on august turizo s music contains influences from pop music trap and vallenato and his vocal range has been classified as baritone his most well known song is his single la bachata
Bad Bunny,"Benito Antonio Martínez Ocasio, known professionally as Bad Bunny, is a Puerto Rican rapper, actor, singer-songwriter, and record producer. Dubbed the ""King of Latin Trap"", he is widely credited with helping Spanish-language rap reach mainstream global popularity and is considered one of the greatest Latino rappers of all time.",wikipedia,https://en.wikipedia.org/wiki/Bad_Bunny,benito antonio mart nez ocasio known professionally as bad bunny is a puerto rican rapper actor singer songwriter and record producer dubbed the king of latin trap he is widely credited with helping spanish language rap reach mainstream global popularity and is considered one of the greatest latino rappers of all time
Joji,,none,,
Beyoncé,"Beyoncé Giselle Knowles-Carter is an American singer, songwriter, actress, and businesswoman. Known for her vocal ability, artistic reinventions, and live performances, she is widely regarded as one of the most culturally significant figures of the 21st century. Credited with shaping popular music, Beyoncé is often deemed one of the greatest entertainers of all time.",wikipedia,https://en.wikipedia.org/wiki/Beyonc%C3%A9,beyonc giselle knowles carter is an american singer songwriter actress and businesswoman known for her vocal ability artistic reinventions and live performances she is widely regarded as one of the most culturally significant figures of the st century credited with shaping popular music beyonc is often deemed one of the greatest entertainers of all time
Harry Styles,"Harry Edward Styles is an English singer, songwriter, and actor. An influential figure in popular culture, he is known for his showmanship, artistry, and flamboyant fashion. Styles's musical career began in 2010 as part of One Direction, a boy band formed on the British music competition series The X Factor after each member of the band had been eliminated from the solo contest. They became one of the best-selling boy bands of all time before going on an indefinite hiatus in 2016. Styles released his eponymous debut solo album through Erskine and Columbia Records in 2017, which was led by the UK number-one single ""Sign of the Times"".",wikipedia,https://en.wikipedia.org/wiki/Harry_Styles,harry edward styles is an english singer songwriter and actor an influential figure in popular culture he is known for his showmanship artistry and flamboyant fashion styles s musical career began in as part of one direction a boy band formed on the british music competition series the x factor after each member of the band had been eliminated from the solo contest they became one of the best selling boy bands of all time before going on an indefinite hiatus in styles released his eponymous debut solo album through erskine and columbia records in which was led by the uk number one single sign of the times
Rema,"Divine Joshua Ikubor, known professionally as Rema, is a Nigerian singer-songwriter and rapper. He gained recognition with his 2019 song ""Dumebi"". That same year, he signed with D'Prince's record label, Jonzing World. He achieved international recognition with his 2022 single ""Calm Down"", which spawned a remix with American singer Selena Gomez that peaked at number three on the Billboard Hot 100. The song also led the Billboard U.S. Afrobeats Songs chart for a record-setting 58 weeks.",wikipedia,https://en.wikipedia.org/wiki/Rema_(musician),divine joshua ikubor known professionally as rema is a nigerian singer songwriter and rapper he gained recognition with his song dumebi that same year he signed with d prince s record label jonzing world he achieved international recognition with his single calm down which spawned a remix with american singer selena gomez that peaked at number three on the billboard hot the song also led the billboard u s afrobeats songs chart for a record setting weeks
Rauw Alejandro,"Raúl Alejandro Ocasio Ruiz, known professionally as Rauw Alejandro, is a Puerto Rican singer and songwriter. His music styles include genres such as reggaeton, Latin R&B, urbano, Latin trap, rhythmic pop, and ballads. His accolades include two Latin Grammy Awards, two Billboard Latin Music Awards, and an iHeartRadio Music Awards. Rolling Stone called him ""the greatest showman in Latin music"" and compared his concerts to a Broadway production.",wikipedia,https://en.wikipedia.org/wiki/Rauw_Alejandro,ra l alejandro ocasio ruiz known professionally as rauw alejandro is a puerto rican singer and songwriter his music styles include genres such as reggaeton latin r b urbano latin trap rhythmic pop and ballads his accolades include two latin grammy awards two billboard latin music awards and an iheartradio music awards rolling stone called him the greatest showman in latin music and compared his concerts to a broadway production
Drake,"Aubrey Drake Graham is a Canadian rapper, singer, and actor. He is credited with popularizing R&B sensibilities in hip-hop music through rap-singing, and journalists have referred to him as one of the greatest rappers of all time. Drake first gained recognition as Jimmy Brooks in the CTV teen drama series Degrassi: The Next Generation (2001–2008) and began his music career by independently releasing the mixtapes Room for Improvement (2006), Comeback Season (2007), and So Far Gone (2009), before signing with Young Money Entertainment.",wikipedia,https://en.wikipedia.org/wiki/Drake_(musician),aubrey drake graham is a canadian rapper singer and actor he is credited with popularizing r b sensibilities in hip hop music through rap singing and journalists have referred to him as one of the greatest rappers of all time drake first gained recognition as jimmy brooks in the ctv teen drama series degrassi the next generation and began his music career by independently releasing the mixtapes room for improvement comeback season and so far gone before signing with young money entertainment
Luar La L,,none,,
The Weeknd,"Abel Tesfaye, known professionally as the Weeknd, is a Canadian singer-songwriter, record producer, and actor. Regarded as an influential figure in popular music, he is known for his light-lyric tenor vocal range and falsetto, alternative R&B sound, and dark aesthetics, as well as the cinematic visuals and storytelling of his music videos. His accolades include four Grammy Awards, 20 Billboard Music Awards, 22 Juno Awards, 6 American Music Awards, 3 MTV Video Music Awards, and a Latin Grammy Award.",wikipedia,https://en.wikipedia.org/wiki/The_Weeknd,abel tesfaye known professionally as the weeknd is a canadian singer songwriter record producer and actor regarded as an influential figure in popular music he is known for his light lyric tenor vocal range and falsetto alternative r b sound and dark aesthetics as well as the cinematic visuals and storytelling of his music videos his accolades include four grammy awards billboard music awards juno awards american music awards mtv video music awards and a latin grammy award
Ruth B.,"Ruth Berhe, is a Canadian singer and songwriter from Edmonton, Alberta. She started by singing songs on Vine in early 2013. In November 2015, she released her debut extended play The Intro. On May 5, 2017, she released her debut album Safe Haven. It has gathered over 2.5 billion overall streams globally as of June 2024. Her double-platinum single ""Lost Boy"" has accumulated over 850 million streams on Spotify, and her YouTube channel has received a total of over 900 million views as of April 2025.",wikipedia,https://en.wikipedia.org/wiki/Ruth_B.,ruth berhe is a canadian singer and songwriter from edmonton alberta she started by singing songs on vine in early in november she released her debut extended play the intro on may she released her debut album safe haven it has gathered over billion overall streams globally as of june her double platinum single lost boy has accumulated over million streams on spotify and her youtube channel has received a total of over million views as of april
Shakira,"Shakira Isabel Mebarak Ripoll is a Colombian singer, songwriter, dancer, and record producer. Referred to as the ""Queen of Latin Music"", she has had a significant impact on the musical landscape of Latin America and has been credited with popularizing Hispanophone music globally, contributing to increased learning and use of the Spanish language worldwide. She is also credited with opening the doors of the international market for other Latin artists. Her accolades include 4 Grammy Awards and 15 Latin Grammy Awards.",wikipedia,https://en.wikipedia.org/wiki/Shakira,shakira isabel mebarak ripoll is a colombian singer songwriter dancer and record producer referred to as the queen of latin music she has had a significant impact on the musical landscape of latin america and has been credited with popularizing hispanophone music globally contributing to increased learning and use of the spanish language worldwide she is also credited with opening the doors of the international market for other latin artists her accolades include grammy awards and latin grammy awards
